|Company|Origin|ReviewDate|CocoaPercent|CompanyLocation|BeanType|BroadBeanOrigin|Rating
0|A. Morin|Agua Grande|2016|0.63|France| |Sao Tome|3.75
1|A. Morin|Kpime|2015|0.7|France| |Togo|2.75
2|A. Morin|Atsane|2015|0.7|France| |Togo|3.0
3|A. Morin|Akata|2015|0.7|France| |Togo|3.5
4|A. Morin|Quilla|2015|0.7|France| |Peru|3.5
5|A. Morin|Carenero|2014|0.7|France|Criollo|Venezuela|2.75
6|A. Morin|Cuba|2014|0.7|France| |Cuba|3.5
7|A. Morin|Sur del Lago|2014|0.7|France|Criollo|Venezuela|3.5
8|A. Morin|Puerto Cabello|2014|0.7|France|Criollo|Venezuela|3.75
9|A. Morin|Pablino|2014|0.7|France| |Peru|4.0
10|A. Morin|Panama|2013|0.7|France| |Panama|2.75
11|A. Morin|Madagascar|2013|0.7|France|Criollo|Madagascar|3.0
12|A. Morin|Brazil|2013|0.7|France| |Brazil|3.25
13|A. Morin|Equateur|2013|0.7|France| |Ecuador|3.75
14|A. Morin|Colombie|2013|0.7|France| |Colombia|2.75
15|A. Morin|Birmanie|2013|0.7|France| |Burma|3.0
16|A. Morin|Papua New Guinea|2013|0.7|France| |Papua New Guinea|3.25
17|A. Morin|Chuao|2013|0.7|France|Trinitario|Venezuela|4.0
18|A. Morin|Piura|2013|0.7|France| |Peru|3.25
19|A. Morin|Chanchamayo Province|2013|0.7|France| |Peru|3.5
20|A. Morin|Chanchamayo Province|2013|0.63|France| |Peru|4.0
21|A. Morin|Bolivia|2012|0.7|France| |Bolivia|3.5
22|A. Morin|Peru|2012|0.63|France| |Peru|3.75
23|Acalli|Chulucanas, El Platanal|2015|0.7|U.S.A.| |Peru|3.75
24|Acalli|Tumbes, Norandino|2015|0.7|U.S.A.|Criollo|Peru|3.75
25|Adi|Vanua Levu|2011|0.6|Fiji|Trinitario|Fiji|2.75
26|Adi|Vanua Levu, Toto-A|2011|0.8|Fiji|Trinitario|Fiji|3.25
27|Adi|Vanua Levu|2011|0.88|Fiji|Trinitario|Fiji|3.5
28|Adi|Vanua Levu, Ami-Ami-CA|2011|0.72|Fiji|Trinitario|Fiji|3.5
29|Aequare (Gianduja)|Los Rios, Quevedo, Arriba|2009|0.55|Ecuador|Forastero (Arriba)|Ecuador|2.75
30|Aequare (Gianduja)|Los Rios, Quevedo, Arriba|2009|0.7|Ecuador|Forastero (Arriba)|Ecuador|3.0
31|Ah Cacao|Tabasco|2009|0.7|Mexico|Criollo|Mexico|3.0
